title,quality,attractiveness,maleLead,filepath
A Christmas Prince,6.5,0.0,Ben Lamb,netflix/christmas_prince
Christmas Belle,-9.0,-5.7,Nicholas Gonzalez,marvista/christmas_belle
A Christmas Kiss,1.7,-0.3,Brendan Fehr,marvista/christmas_kiss
12 Dates of Christmas,8.8,7.2,Mark-Paul Gosselaar,misc/12_dates
A Christmas Inheritance,-2.3,-9.7,Jake Lacy,netflix/christmas_inheritance
Merry Kissmas,-5.7,7.0,Brant Daugherty,marvista/merry_kissmas
My Santa,-4.9,-7.1,Matthew Lawrence,marvista/my_santa
A Christmas Kiss II,0.0,3.4,Adam Mayfield,marvista/christmas_kiss_ii
Dear Santa,3.1,-6.7,David Haydn-Jones,misc/dear_santa
Christmas in the Smokies,-3.0,8.9,Alan Powell,misc/christmas_smokies
A Dogwalker's Christmas Tale,-4.4,6.2,Jonathan Bennett,marvista/dogwalkers_christmas
The Spirit of Christmas,-3.5,10.0,Thomas Beaudoin,marvista/spirit_christmas